CZ-201;Benešov;ST;BN
CZ-202;Beroun;ST;BE
CZ-621;Blansko;JM;BK
CZ-622;Brno-město;JM;BM,BS,BZ
CZ-623;Brno-venkov;JM;BI,BO
CZ-801;Bruntál;MO;BR
CZ-624;Břeclav;JM;BV
CZ-511;Česká Lípa;LI;CL
CZ-311;České Budějovice;JC;CB,CE
CZ-312;Český Krumlov;JC;CK
CZ-421;Děčín;US;DC
CZ-321;Domažlice;PL;DO
CZ-802;Frýdek-Místek;MO;FI,FM
CZ-611;Havlíčkův Brod;VY;HB
CZ-625;Hodonín;JM;HO
CZ-521;Hradec Králové;KR;HK,HR
CZ-411;Cheb;KA;CH
CZ-422;Chomutov;US;CV
CZ-531;Chrudim;PA;CR
CZ-512;Jablonec nad Nisou;LI;JN
CZ-711;Jeseník;OL;JE
CZ-522;Jičín;KR;JC
CZ-612;Jihlava;VY;JI
CZ-313;Jindřichův Hradec;JC;JH
CZ-412;Karlovy Vary;KA;KR,KV
CZ-803;Karviná;MO;KA,KI
CZ-203;Kladno;ST;KD,KL
CZ-322;Klatovy;PL;KT
CZ-204;Kolín;ST;KO
CZ-721;Kroměříž;ZL;KM
CZ-205;Kutná Hora;ST;KH
CZ-513;Liberec;LI;LB,LI
CZ-423;Litoměřice;US;LT
CZ-424;Louny;US;LN
CZ-206;Mělník;ST;ME
CZ-207;Mladá Boleslav;ST;MB
CZ-425;Most;US;MO
CZ-523;Náchod;KR;NA
CZ-804;Nový Jičín;MO;NJ
CZ-208;Nymburk;ST;NB
CZ-712;Olomouc;OL;OC,OL,OM
CZ-805;Opava;MO;OP
CZ-806;Ostrava-město;MO;OS,OT,OV
CZ-532;Pardubice;PA;PA,PU
CZ-613;Pelhřimov;VY;PE
CZ-314;Písek;JC;PI
CZ-324;Plzeň-jih;PL;PJ
CZ-323;Plzeň-město;PL;PM,PN
CZ-325;Plzeň-sever;PL;PS
CZ-101;Praha 1;PR
CZ-102;Praha 2;PR
CZ-103;Praha 3;PR
CZ-104;Praha 4;PR
CZ-105;Praha 5;PR
CZ-106;Praha 6;PR
CZ-107;Praha 7;PR
CZ-108;Praha 8;PR
CZ-109;Praha 9;PR
CZ-10A;Praha 10;PR
CZ-10B;Praha 11;PR
CZ-10C;Praha 12;PR
CZ-10D;Praha 13;PR
CZ-10E;Praha 14;PR
CZ-10F;Praha 15;PR
CZ-209;Praha-východ;ST;PH,PY
CZ-20A;Praha-západ;ST;PC,PZ
CZ-315;Prachatice;JC;PT
CZ-713;Prostějov;OL;PV
CZ-714;Přerov;OL;PR
CZ-20B;Příbram;ST;PB
CZ-20C;Rakovník;ST;RA
CZ-326;Rokycany;PL;RO
CZ-524;Rychnov nad Kněžnou;KR;RK
CZ-514;Semily;LI;SM
CZ-413;Sokolov;KA;SO
CZ-316;Strakonice;JC;ST
CZ-533;Svitavy;PA;SY
CZ-715;Šumperk;OL;SU
CZ-317;Tábor;JC;TA
CZ-327;Tachov;PL;TC
CZ-426;Teplice;US;TP
CZ-525;Trutnov;KR;TU
CZ-614;Třebíč;VY;TR
CZ-722;Uherské Hradiště;ZL;UH
CZ-427;Ústí nad Labem;US;UL,US
CZ-534;Ústí nad Orlicí;PA;UO
CZ-723;Vsetín;ZL;VS
CZ-626;Vyškov;JM;VY
CZ-724;Zlín;ZL;ZL
CZ-627;Znojmo;JM;ZN
CZ-615;Žďár nad Sázavou;VY;ZR